id,name
5szilpXHcwOqnyKLqGco5j,Faye Webster
07EcmJpfAday8xGkslfanE,Kevin Abstract
2lciIw4vq0jQqevXA2TEUl,Kara Jackson
4tK6Z8fK7Sc9133byjPGIT,MJ Lenderman
59RNNqeEfkq3X5pfOQxZ3C,Hovvdy
5QeOEXfGjdzdEsUOHODPCw,Ethan Tasch
6VgPyGeGO86DztjK7GCYT3,Boyish
2uYWxilOVlUdk4oV9DvwqK,Mitski
4j7DrazfBZLLD0OrVoAtEe,Wednesday
2Ru6erK9heeCeWQDx0sDmR,Sparky Deathcap
0pg0Zm8FsGAYy5kdHuBnSo,salvia palth
6lcwlkAjBPSKnFBZjjZFJs,Alex G
38u18VoGaIwVeSyVoA0eU5,Hope Sandoval & The Warm Inventions
5gspAQIAH8nJUrMYgXjCJ2,Kurt Vile
2JFTRDi5v7JtqoouVe1z5D,Slow Pulp
4iuECUfKK1Iulmgxt5MObO,Bats
7o1TBmx7Ube5h2Czlam84O,Arcy Drive
1thbOfXak53dM1Xabq3pmb,Delacey
46VzbEZDkCQKJX3o4g8gMD,Valley Boy
392WuM1Yb4QRI0GG4epyn5,Goldie Boutilier
0avMDS4HyoCEP6RqZJWpY2,Ethel Cain
5QdyldG4Fl4TPiOIeMNpBZ,Big Thief
2y1A93fUkRi2xSbKMwhyzs,Howdy
48mkLSnW17hfCg0rDjMzs7,After Ours
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver
3lWVgSwutPsiJ8Awm7OTKU,"Slaughter Beach, Dog"
5b1DzFl2lTpE9v5fjAZ9kn,Florry
73mSg0dykFyhvU96tb5xQV,Hermanos Gutiérrez
6YWdHD3R863Apw1hkx3BwC,Dan Auerbach
251UrhgNbMr15NLzQ2KyKq,Rayland Baxter
00FQb4jTyendYWaN8pK0wa,Lana Del Rey
2kGBy2WHvF0VdZyqiVCkDT,Father John Misty
0xPoVNPnxIIUS1vrxAYV00,Del Water Gap
0WCo84qtCKfbyIf1lqQWB4,Geese
3u39r3hiQU2sq7VrV38L6x,Ohtis
7vtSUU3zpHeYJfX6BPNrJd,Briston Maroney
6g12mLVmai580Y6SQnGjcd,waveform*
00Af3oygT0HC6ld0c2HwFX,Tobacco City
03OMNIRl2S7PLASNxIeION,Lo Noom
2dPIBvg7mU59dCTGjhPylV,Foxwarren
5mFKYdmiYwNJTDtSzgFyQx,Andy Shauf
1VbP2VbyU1Ht1wtIAMn4Gc,Darryl Kissick
60ht0hWRy1yjUDfNsLuHuP,Lucinda Williams
4jSYHcSo85heWskYvAULio,Mojave 3
70kkdajctXSbqSMJbQO424,Kacey Musgraves
4AgusFXPk24LCGMMplX34M,Palehound
2gbT6GPXMis0OAkZbEQCYB,Pinegrove
6U1lmwvy3I9dIYu9RalJi6,Horse Jumper of Love
2gaCpvhi31OZtozJKsr5gm,Papooz
6ft7JnxMyZhp7N52qzHymY,Vansire
2xK3hBpuuHSxmHr96TzgDO,TOLEDO
3w86RIwTE80NR3m54obsgz,Jack Symes
2tMcnRGaCtfz1ZyTBgHjmW,Twain
3ir2pF2mkiEWqyPenKTh5e,Indigo De Souza
46auOkH1pk28rWrSoUNhLo,Orville Peck
4hz8tIajF2INpgM0qzPJz2,Rainbow Kitten Surprise
28NTlcAifzUgF4SIZgxncj,Briscoe
4wXchxfTTggLtzkoUhO86Q,Soccer Mommy
6O4EGCCb6DoIiR6B1QCQgp,Toro y Moi
0lC97iGj9XViueKd9WERw4,Kylie Dailey
6EEkobfnenJF603WO8nUrR,Willow Avalon
7adlRX57hqe6Pc4YHrSGG0,Runnner
6RHDASo3OVNiNY2nrGx3qc,Cotton Jones
6p2HnfM955TI1bX34dkLnI,The Backseat Lovers
5V1vRp27m0PLepQehI2tnf,Ugly (UK)
4aTQ05Ddh21E2CJFSZy7ZW,Video Age
32aUoW94mJ7xTJI7fG0V1G,Whitney
6xdRb2GypJ7DqnWAI2mHGn,MUNA
3FxTu2bdWpjdTV7axOuZSz,Teal Peel
5IWCU0V9evBlW4gIeGY4zF,Waxahatchee
5FJKTwdeCFfs7ZX66hNTSJ,Al Menne
4aEuFytRb43SAgjchJDk5e,quinnie
3ZKyADicHqelBDeADLutiu,Flyte
5HMQ8Ndq4fhuLwhealQFO3,@
2upjmNmngAXZcra9dQRR2l,Cut Worms
10GZjzJnxuL9DuVcNYUyal,Symbol Soup
5cMVRrisBpDkXCVG48epED,Jenny Lewis
0AL8XXRh7fUrHAMLoDv9rn,Bonny Doon
4FAFa9p2vpYWRZdUpcAKH4,Charlie Martin
1hLiboQ98IQWhpKeP9vRFw,boygenius
12zbUHbPHL5DGuJtiUfsip,Julien Baker
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers
07D1Bjaof0NFlU32KXiqUP,Lucy Dacus
6fxk3UXHTFYET8qCT9WlBF,Kevin Morby
4GFoAmLzPM4V8F8HJSVaYA,Thank You Thank You
16rfBFRECzNBUuVJ31MQPv,Sunspur
02V9xHLkyNSvfSbJka7HhX,Jacklen Ro
4pvvhffb5CTrWsrTCf3tMa,Harriette
784kOgkd1H6jU4KgPMYHi9,Jess Williamson
7COP1HCvVq1cIpZcLQYoNe,Bedroom
2uvre6qZ51Tc12CBizuzRI,Sadurn
3Os4q49SgEN0Tv3fxKw3Sp,Delaney Bailey
4NZvixzsSefsNiIqXn0NDe,Maggie Rogers
3mIj9lX2MWuHmhNCA7LSCW,The 1975
13MdjUqnWNyfY4qKYQ9OPl,Quiet Life
4I29IR2MABOOQXGDdcYA2q,Another Michael
4oNZapwLKDfR92AX7LbRk1,Boy Golden
7DnDHNnkHER4ompBXz1ibL,Acetone
7gqsi6aBSkRMJoL9psKqMr,Bill Callahan
3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road"
5ArUOljpeiuePVYkK6KFmG,Son of the Challenger
027TpXKGwdXP7iwbjUSpV8,The Walters
2oHONIRqxXSaM6rAtMNps8,Laney Tripp
7skiCmlFbtPe0anDfCCPXm,Jacob Cummings
4mLJ3XfOM5FPjSAWdQ2Jk7,Dr. Dog
2r9XQHlnMp4d7VdIAw0Iyl,Sam Johnston
7hbsjraQ0ce8UcmoWVoIe8,Emma Klein
4wMfqR1EZagrSlYndItxGQ,Field Medic
0HMLp79IAd9Z8zMgxqpyxn,Radiator Hospital
7iKAKm7fkVOfNvcdqMlYzP,Purr
0knGpCTbmG4ctl1wzYRZs4,Dijon
52MMXmgPC7kDNIYUxCeh8d,Becky and the Birds
4pzjm2iMtclScYmoJ7q9tD,Dan Reeder
5SL8972vfCQ4PFqlmf9B5G,John C. Reilly
0RvKwfTA8QrkZfXm7cflNr,Sachi
3RosuARXNIOfNYoJXR7fzA,Tobias Jesso Jr.
0SsM5OCOiiwycZIO63OT1S,North Americans
6Qm9stX6XO1a4c7BXQDDgc,Fruit Bats
6tChZB9BU0fHdHrrwU5vgb,Baby Cool
1SoBNpuC0N4nvaQFENS0qf,Ratboys
2Mjqb4HQpRBuDjn84nOYS9,Sexy Girls
6zcDLZ62JsbVM1nLrQMzi4,Lomelda
5V1yrA8FrMhKkl4rCu6flc,Kacey Johansing
3sHKu82LxYjIMCXoHpgalZ,Jacqueline Hackett
0qzzGu8qpbXYpzgV52wOFT,Bibio
5jisWKblA5tIYYDLfTOKle,Kelley McRae
7FU0xCgmSYQEiBeevUqQ4S,Yoke Lore
2aPB7TI5mAleSnK0Fm0YVP,Free Range
58irgKwXTjCCuYQB58aXeH,Liz Cooper
6naWDjIIvxOhHfu99ubAC7,The Stampede
5ybU1P0ufoGH5CMclUKebd,Ruby Waters
57kIMCLPgkzQlXjblX7XXP,Phosphorescent
4OR0gbDLGgJ4fxoXB0ZCYZ,Hayden Pedigo
3oYFKaeq39nYQsW6z6LX3T,Mol Sullivan
6DhYH5Yx7mZG0qkBmioMbI,Bloomsday
7fnMav7xXJwwjbyWbSjF4C,Gia Margaret
5Ppie0uPnbnvGBYRwYmlt0,Megan Moroney
06HL4z0CvFAxyc27GXpf02,Taylor Swift
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood
5e4Dhzv426EvQe3aDb64jL,Shania Twain
6Iz3eq2aQGFf7TbGT2iahL,Gabby Barrett
3ltFy7g6KKQPPttsdOMlq3,Jo Dee Messina
6tPHARSq45lQ8BSALCfkFC,Lainey Wilson
4KH3T3jZJtfFtNyfBqwUuu,Madeline Merlo
3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini
2qwXeRk8VBAegbUnf3xdyi,Ashley Cooke
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat
3g2yaL04Uapb5fxmwsUZgV,Kylie Morgan
4sIl4BTo9l9KqEi0Y3RE72,Carly Pearce
25IG9fa7cbdmCIy3OnuH57,The Chicks
34bhyY8jfKez7uKakMfy4y,Maddie & Tae
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert
3XlIhgydjvC4EniPFZT20j,Trisha Yearwood
3bhu7P5PfngueRHiB9hjcx,Elle King
4e9TBaTlI3LVQz3tkTYC0I,Hailey Whitters
0jPnVIasXzBYjrlpO5irii,Ingrid Andress
7qvsLYsYP0MHD7jkdv6DAG,Sara Evans
5wqQVApxKeHbMsfLJTfWMJ,Shaylen
4eYE8Z6cfEHEdG22lTyucP,Morgan Wade
6YM5gRpMJkP0kUWRcvlHT3,Brittney Spencer
0gSAxSvAApQc71cTpoXDFu,Tenille Arts
6BRxQ8cD3eqnrVj6WKDok8,Ella Langley
738OS3zrCO782uDiUN9pet,Lee Ann Womack
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris
371jpyGdoChzUASOIG2ECV,Ashley McBryde
5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery
1v3tdpIdBSW14rHUfiEVOv,Lauren Alaina
5WRElKaZsn1tGnrgmJVAeO,Cam
1LCsAfmP4l13EYtzDaLMAg,Kassi Ashton
1ok6sI97SuTRNc7Hjj7Uj9,Caylee Hammack
0aqrM7Fo3Ml66Kc5JAzmjt,Deana Carter
40oKC5KWScA0TPIiKAofI8,MaRynn Taylor
0z4vOhwPxS2J5ULMg8edzb,Tigirlily Gold
4244ev6lbmTuq9j5yBQTc6,Shelby Darrall
7ahuvq1mbb4idwG1iJbSFG,Cassadee Pope
4jpqm8g4We93Uk6M9M4FDh,Reyna Roberts
5dMnvpYEfXvSexjwnSRH5n,RaeLynn
6nXco5Q3cJJ0ZutnBOsSpq,MacKenzie Porter
02rd0anEWfMtF7iMku9uor,Reba McEntire
5rNhVm2CnqiO5Lv4Dt2lck,Jessica Andrews
5TtSGhhCPt56x4ZPfg7DFq,Erin Kinsey
2mAb9JDF63azaglqA7c9bb,Robyn Ottolini
4X5CTYQmx1NNyz9S1IpNko,Carter Faith
3lkwNhvm2fbh4q8CIe47n3,Lily Rose
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson
6wCypaPtud9fC2djKw9PDX,Jenna Paulette
6nfN5B7Jmi853SHa9106Hz,Mickey Guyton
5wAnMmOnMIA0EGNUIYkLRr,Danielle Walker
4x7h0jaU1U1n2jKWoNfPij,Tehan Form
5WSATrMjcuhKibg0jp4uHI,Arush Mandal
6mAaAXGrtsOjqcgbzsCAaW,Dhanura
1ue5TobfrOLU2bnR0slyHY,Albert Lockwood
174Lkyx2f5M77yWd1Mofqj,Asa Kora
3bhvCKBgGPO4OURkbYkt3b,Darcie Roman
3SKcC6zzCqvKJUfkqNGJi5,Erelin Hjerta
4S0x628hBw2YQyh0hCQAf8,Fjellet
5nXvkyQwcA3mf2B9Wsd3Lh,Lemos
76BYMatrC95a7MaFSxeU9g,Imperial Atlas
5zXzDGnSdx0XqjZzuKNNYx,Jake Slumber
6jXJLmPCp6G9qpAK8XJZ81,Ambient Saga
0RMsyms4T0LXxotilnDJap,Butterfly Wings
5FeOCRq508gqckvhfqdQY6,Eleonor Bauer
4lFZjO0NQUgvQLC8G6J8uC,Himlavalv
3IgG6CQo3mfhUsT1AgNWum,Fannie Shelton
5GXKQgbYHVdRFSznRp5trz,Gargantis
6zmgXBf7eD1SpC4O5NJo0H,Spherical Harmonics
3uDLX7j7thpPkEANovcmlT,Tone Jacobs
0LzWeBGGtEazh0mJmyxFXi,Chandeller
0PEVq7ryAUqJhVdgfiBSXz,Orvalis
4IjFhiHshrelBCY2ACVwhR,Quiet Point
65IJPn3wYi35Qpov4MXcFr,Joseph Alphane
29rhAtl6ikj08cVQFkwcJ9,Gordo Napalma
6rEyWC1pryYSBm1xFVH5A1,Max Benton
62k2sifCiGij6HZx3Z7dTp,Selma Ström
2RmEoDzAVo3AKLolGZ1Uss,Spirits Of Our Dreams
5i7lSqtuk0e6UOc9prZ88q,Lina Amsler
5xKXgnk2Uov5ZnQi87TV0i,Restorative
5dQtzw5YaP9ZCMv0GWymws,Cooper Sams
1kB8QJP6BXE8ezroP29Z5r,Elementaries
